Epochs,Population size,Threads,Percent,Neural network
2000,15,5,0.3,Layer 1: neurons(9)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
195075,0.003784186252584798,0.0036925156938325543,0.0036814420366355627,1801.0
195075,0.002749243947618659,0.0026569619502471165,0.0026478301642703927,1877.0
195075,0.003698724639121741,0.0036130081587014695,0.0036071669121906513,1826.0
195075,0.0048201649816747615,0.004741514820036374,0.004721977671240829,1805.0
195075,0.003836974254865289,0.003849850202563565,0.003872482452566328,1809.0
195075,0.004595833558161228,0.0044559132820650715,0.00446518256881312,1976.0
195075,0.003288625792269997,0.0031204786667912154,0.0031701936864821922,1804.0
195075,0.003247050353321426,0.00316279288917376,0.0031618062055962515,1819.0
195075,0.00407480176247387,0.0043986059509458775,0.004394406260369799,1800.0
195075,0.0034951046188270458,0.0034008837926113866,0.0033960805673852734,1995.0
195075,0.003072072978003876,0.002959137088434316,0.0029618805828725003,1963.0
195075,0.0037418070362150732,0.0036450348512765407,0.003638944651926268,1977.0
195075,0.003933102810219204,0.0038204296391856074,0.0038141413785270917,1832.0
195075,0.0029752862667649957,0.002902544328415968,0.002901290395885159,1929.0
195075,0.00398665772393893,0.003903287453311699,0.0038875707257121084,1801.0
195075,0.00443958453867736,0.004330626341131905,0.004333908987170787,1857.0
195075,0.0032108918673240854,0.0031487041466942145,0.003159791197940298,1945.0
195075,0.0040086778957816125,0.003705346597220771,0.003809873665930108,1800.0
195075,0.00364092959722118,0.003537892422032174,0.003535806348143433,1979.0
195075,0.004083748874734876,0.004037681451062869,0.003997780559002351,1800.0
195075,0.0036313162278170177,0.0035344210907917173,0.00354572007156273,1938.0
195075,0.003308843726376776,0.0032229393183433874,0.003202663393528704,1800.0
195075,0.0039971874649047025,0.003919330592067727,0.003922225685288994,1900.0
195075,0.005150299602861991,0.005034927756492502,0.005019281977081791,1913.0
195075,0.003581952588500822,0.0033412034381956612,0.0033409336515580756,1483.0
195075,0.0033226185275822082,0.003250848354197866,0.003244524586517916,1974.0
195075,0.004018675422773322,0.0039300091711858,0.00392422186092678,1864.0
195075,0.0036855075423017575,0.003608311421571031,0.0035921486835672756,1802.0
195075,0.004301572629116566,0.0041536671992182805,0.004186602493417291,1882.0
195075,0.003599289787614756,0.0035321232527087965,0.0035214964532712667,1984.0
Best evaluation,Average evaluation,Worst evaluation
0.002749243947618659,0.0037760244423216635,0.005150299602861991
