Epochs,Population size,Threads,Percent,Neural network
2000,15,5,0.1,Layer 1: neurons(6)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
200075,0.0023426201187243837,0.002296880895060749,0.0022779340368862533,2000.0
200075,0.003203783923377974,0.003143540131088085,0.003125192659020004,2000.0
200075,0.002517842431133491,0.0022638728435873112,0.0024026391827514093,200.0
200075,0.0020964648216277733,0.0020542480255820728,0.0020356434531711987,2000.0
200075,0.0024728883127288085,0.0024283859050258094,0.002410294413922709,2000.0
200075,0.0021314680684253262,0.0020885093452222003,0.002070542695343791,2000.0
200075,0.003012035153104265,0.0029538461895373125,0.002936423454339865,2000.0
200075,0.0032968646956127155,0.0032472013922634213,0.0032149695182569493,2000.0
200075,0.0020740751334261194,0.002025742748473114,0.0019736085070670706,1600.0
200075,0.0024858927017976967,0.002426638826382499,0.002418694059325377,1602.0
200075,0.0015896337529638666,0.001564304027793395,0.0015363047992172918,2000.0
200075,0.0029293605491192967,0.0028785399490872665,0.002855072410801407,2000.0
200075,0.0034347703926065195,0.003370661627060123,0.0033404034690018847,1800.0
200075,0.0010046602010584107,9.952850445545947E-4,9.813353641541234E-4,2000.0
200075,0.0013493017558620015,0.001324448009761947,0.0013064667619150372,2000.0
200075,0.0013921020603982449,0.0013655156457121898,0.0013477100167534894,2000.0
200075,0.0026207790925323543,0.0025894430347178643,0.002551993699674071,2000.0
200075,0.001953494220125524,0.0019142040286201922,0.0018711640297874865,1800.0
200075,0.0023937196866554273,0.002348146991044353,0.0023271789647159036,2000.0
200075,0.0020280237753426563,0.001986180568433582,0.0019682445325637232,2000.0
200075,0.003081908410425028,0.003023177390186982,0.003004627001102156,2000.0
200075,0.0010446997383763159,0.001032020288454838,0.001017234738182493,2000.0
200075,0.0020730050329220645,0.0020312091854567393,0.002012624287608955,2000.0
200075,0.001698336225281907,0.0016641200787862465,0.0016456805247374584,2000.0
200075,0.0024254182126922253,0.0023775735556729183,0.002359309979931723,2000.0
200075,9.67889410743197E-4,9.64998502550829E-4,9.542851016176579E-4,2000.0
200075,0.00331064183571671,0.0032366471728643154,0.003228157483967542,1200.0
200075,0.0031032571213141786,0.0030450824156851297,0.0030256365327882007,2000.0
200075,0.002580319198589307,0.0025292134754816287,0.0025091586708522184,2000.0
200075,0.0019253425938633394,0.0018861797868693353,0.00186734865943472,2000.0
Best evaluation,Average evaluation,Worst evaluation
9.67889410743197E-4,0.0022846866208849044,0.0034347703926065195
