Epochs,Population size,Threads,Percent,Neural network
2000,15,10,0.1,Layer 1: neurons(9)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
500135,0.00803536838750444,0.006130206814665251,0.008191574905767829,1764.0
500150,0.009836942713033441,0.0066728525882520096,0.013480824947152192,1321.0
500150,0.01194884208641362,0.008106748227566518,0.013120178875697275,1911.0
500150,0.007850584221644781,0.005786648333306221,0.00793645014971256,2000.0
500150,0.007189079615171488,0.005493056912023397,0.007661913823697186,1797.0
500150,0.007846784396191533,0.005705493798118133,0.008443441109048377,1873.0
500150,0.01083772847356791,0.00621140736451542,0.01815285898948804,1441.0
500150,0.009567972635535332,0.00534519071369155,0.01925346487647217,2000.0
500150,0.011495164037760975,0.008166453704593901,0.013057247125884741,1383.0
500150,0.009635802865502505,0.00650457682052763,0.014880924139410778,2000.0
500150,0.00823328835059503,0.006346684690209159,0.008490111174642712,1398.0
500150,0.007890841052776676,0.005512522707045053,0.008238588758521015,1680.0
500150,0.009089455161812462,0.006259894314378234,0.011265706048091628,1716.0
500150,0.011550046385601767,0.00845067961272572,0.01261295308892918,1679.0
500150,0.008623796032726868,0.006232174136213353,0.010220331135460059,1673.0
500150,0.008569458631012323,0.006150168647213183,0.01471315690316155,2000.0
500150,0.010828856682742777,0.006991757123400055,0.013379024089930525,1999.0
500150,0.008771711066966816,0.006103238332436645,0.009049541974892494,1692.0
500150,0.006945379721737343,0.005294565446737898,0.00805537462573691,2000.0
500150,0.0062654264749327,0.004737182826241471,0.006403910713724259,1481.0
500150,0.008006871509291635,0.005591667101535691,0.01034653640352412,1863.0
500150,0.009611486255449692,0.0063834259990670494,0.011138954483798091,1992.0
500150,0.007330313347362554,0.005518981827500213,0.00937395195916535,2000.0
500150,0.010386935652822976,0.007104472813474816,0.01824742907426269,2000.0
500150,0.008245680724995312,0.006367119895629991,0.009471422925660722,1803.0
500150,0.009397561159075415,0.0072033758379450585,0.012053683636237378,1202.0
500150,0.0070184903738555755,0.005165042847134371,0.008296349086696408,1433.0
500150,0.007918350072782687,0.005511678633782324,0.007689393700340941,1615.0
500150,0.009533033206360987,0.007145269626318118,0.01050226971887902,979.0
500150,0.007648808850041269,0.005865126423731493,0.008384089683320606,2000.0
Best evaluation,Average evaluation,Worst evaluation
0.0062654264749327,0.00887033533817563,0.01194884208641362
