Epochs,Population size,Threads,Percent,Neural network
2000,15,5,0.1,Layer 1: neurons(7)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
200075,0.0068189070853999535,0.004999742859855605,0.006837308369981865,1861.0
200075,0.006442392900842712,0.004791953727337983,0.006452137169902006,1904.0
200075,0.006692606586305843,0.005109194080884283,0.006501198581383427,2000.0
200075,0.010399413829175896,0.007724272419733724,0.010299801644000461,1800.0
200075,0.006337340957336035,0.004619831892212711,0.00629217164811946,1800.0
200075,0.007848147461818627,0.006010249855672112,0.007881292270432216,1930.0
200075,NaN,0.01994505025062776,0.03156897521696389,800.0
200075,0.007309578348060183,0.0054208990653736855,0.007213788647873698,1602.0
200075,0.007145959154105003,0.005279811279017332,0.007218757020284294,1340.0
200075,0.007896892697890512,0.006091360141061375,0.007961227288833972,1679.0
200075,0.008252832993662997,0.006409835244722717,0.008242069917413053,1201.0
200075,0.007572852864451364,0.00568502835511564,0.007527836795334419,2000.0
200075,0.008050563346774647,0.006125609981268099,0.007981858832050492,1987.0
200075,0.00663139919532923,0.004840161716877844,0.006701234426646718,1922.0
200075,NaN,0.008251328376013833,0.011717640667681994,400.0
200075,0.006752423969470756,0.0049601804785769366,0.006693530087645283,1600.0
200075,0.007164700393524194,0.005596164225939115,0.00713687593490131,2000.0
200075,0.006683690944422781,0.00489203163773555,0.006654372003279341,1890.0
200075,0.0066471453078753824,0.004871304720979519,0.006611396162175209,1829.0
200075,0.006648596638284048,0.0049182377084184825,0.0066654436494828495,2000.0
200075,0.006067839522750694,0.004621325577093605,0.006144611917604514,1578.0
200075,0.0077519715912786275,0.005853087868327056,0.0077500972693990144,2000.0
200075,0.006512060500887149,0.0047338271112031816,0.00642191308214024,1632.0
200075,0.0063980905027291425,0.004645168087103246,0.006386570819229109,1589.0
200075,0.0075039905265381224,0.005692945058543009,0.00753884450965181,2000.0
200075,0.006181937128284531,0.00454716814861944,0.006140688215303225,2000.0
200075,0.006240119157966459,0.004612115051361054,0.006232642236391861,1656.0
200075,0.007688012138367527,0.005790477472664701,0.007629057735492939,1862.0
200075,0.007879172342942402,0.005964333942496514,0.007883867828670343,1601.0
200075,0.0064812000799201325,0.0048124813078112005,0.006562941994752491,1884.0
Best evaluation,Average evaluation,Worst evaluation
0.006067839522750694,NaN,0.010399413829175896
