Epochs,Population size,Threads,Percent,Neural network
2000,15,5,0.1,Layer 1: neurons(9)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
200075,0.021038212435391612,0.04586407818053284,0.025098580590811714,366.0
200075,0.01213257152026554,0.01893533521147428,0.016667383206680597,1412.0
200075,0.012155876212519628,0.01896102644658726,0.016476562528542238,1534.0
200075,0.013150276569623993,0.019705820982261146,0.017052221513832788,1988.0
200075,0.012258217411477685,0.019033029430113424,0.01679064475928782,976.0
200075,0.013461430486642624,0.019515056207270454,0.017554894230994322,1200.0
200075,0.012788122132820543,0.019776053360798462,0.016829768772550158,1871.0
200075,0.012249804763731335,0.01918451806815402,0.016802020412090335,1821.0
200075,0.012022565494863335,0.01907596104468301,0.016913635904457935,1676.0
200075,0.012370888484114046,0.018913576717814018,0.016790949061318394,782.0
200075,0.012043110138447362,0.019135910818085855,0.016733305559749057,1708.0
200075,0.01227240478513768,0.018936910886458103,0.01644302440098333,1618.0
200075,0.01335017543261764,0.019914860900160924,0.017284271169750176,1976.0
200075,0.012065401277002685,0.019003121335684714,0.01669942063153662,1301.0
200075,0.012375024380901328,0.01892151898063943,0.016859345644210877,1084.0
200075,0.01223422641823898,0.01909919979251906,0.016639496651757457,1688.0
200075,0.011984066397429206,0.01905507900832204,0.016804802654048934,1910.0
200075,0.012478217875463896,0.019028544162157046,0.016567941718912738,1064.0
200075,0.014014254196580032,0.02046233109922524,0.017639789548878237,1785.0
200075,0.011926405446825876,0.019054473284865092,0.016897615684726253,823.0
200075,0.012076209069535458,0.019049324261293687,0.016601113525730904,1801.0
200075,0.012187172431729284,0.019139613426496505,0.01711245476033585,800.0
200075,0.012154242955349729,0.01903628149555414,0.016651006203984853,1754.0
200075,0.011818755289684872,0.019463430840751972,0.01722506887712616,1727.0
200075,0.013042113419089094,0.019391351321902173,0.017330999204893893,1875.0
200075,NaN,0.022009103439640465,0.020596329361431187,600.0
200075,0.012444607610797642,0.01945456510665866,0.0176052053339123,600.0
200075,NaN,0.019327697257848886,0.017329673035424764,600.0
200075,NaN,0.018967676607631767,0.016607400608293355,1000.0
200075,0.012278609024444609,0.01894241024884835,0.016999250475255745,1880.0
Best evaluation,Average evaluation,Worst evaluation
0.011818755289684872,NaN,0.021038212435391612
