Epochs,Population size,Threads,Percent,Neural network
2000,15,10,0.3,Layer 1: neurons(9)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
480120,0.012479509587899004,0.01949480145186988,0.017316008027006502,1990.0
480150,0.012877950258698036,0.018495182088885675,0.01716437579975727,1252.0
480150,0.01328771675094146,0.01968272653604386,0.016783726364020035,1877.0
480150,0.011965184662321972,0.01921099545185434,0.017659011197350583,1982.0
480150,0.012495902613232555,0.019346262245022783,0.01654222434399466,1976.0
480150,0.012295931853293538,0.018925225649499167,0.016593964167620934,1962.0
480150,0.012349227285636973,0.01919999972269204,0.017429388478041985,1805.0
480150,0.012429572165320391,0.01903523125516704,0.016614794393711274,1819.0
480150,0.01320976857634523,0.019071781341071237,0.01722740730210459,1814.0
480150,0.01204992683129163,0.019128227606885373,0.016945935218507513,1822.0
480150,0.012232776509651109,0.018805868300416084,0.016569759492218172,1907.0
480150,0.01211331666178256,0.019001117329154993,0.016509778393324792,1818.0
480150,0.012216837815773937,0.01902701113488736,0.01671562861302134,1851.0
480150,0.012742540064453647,0.01935747047629488,0.017314280306925722,1876.0
480150,0.013031291988141196,0.01946188346737332,0.0174166422557942,1842.0
480150,0.012282120453422904,0.01914928440141006,0.01682235741223681,1985.0
480150,0.012620642513591117,0.019231315249746195,0.01709026036314043,1902.0
480150,0.011946392949389375,0.01883894453690116,0.01682226127692965,1834.0
480150,0.012413313488150484,0.01902323656127214,0.01669525884281886,1954.0
480150,0.01209941633219565,0.019609733714738065,0.017428754666563573,1200.0
480150,0.01228652048520951,0.02016849670216625,0.017181844087577725,1914.0
480150,0.012451518127216074,0.01910598220593107,0.016687217020073364,1874.0
480150,0.013307542781467271,0.019221921210643145,0.017516701977799642,1912.0
480150,0.0130900564457217,0.019877780091370312,0.017088201225056054,1213.0
480150,0.011792195455301038,0.019160276981340485,0.016827198958378253,1550.0
480150,0.01271796032390643,0.01925405183154516,0.017016244128760682,1611.0
480150,0.012625671095840793,0.019557749121126178,0.016930720429729096,1805.0
480150,0.01399952106362692,0.019750978339789782,0.01807771852374651,156.0
480150,0.012043883413953706,0.019340787648665314,0.016953828988212294,1693.0
480150,0.01227731645377483,0.01924817442165716,0.016679686762501866,1991.0
Best evaluation,Average evaluation,Worst evaluation
0.011792195455301038,0.012524384166918366,0.01399952106362692
