Epochs,Population size,Threads,Percent,Neural network
2000,15,10,0.1,Layer 1: neurons(9)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
500150,0.01329602044929702,0.019216797218687853,0.01742942002164416,1883.0
500150,0.012281004111366497,0.01895684456889335,0.01679088861315614,1804.0
500150,0.012220874069661753,0.0188992337737085,0.01698215171420192,1964.0
500150,0.012244948508418636,0.01837360681893796,0.016494873150062483,1296.0
500150,0.013068022104150374,0.0193361134101937,0.017222694149657936,1806.0
500150,0.012335913164429196,0.019120031741815535,0.016562040962509128,1903.0
500150,0.01218945692562553,0.019116289483875448,0.016899145719500908,1806.0
500150,0.011662397872115903,0.01903151859793273,0.017131482947015386,1559.0
500150,0.01209401416823519,0.018835654051657547,0.01662184039112935,1909.0
500150,0.012193852707053879,0.018966412673245836,0.016533027826457936,1168.0
500150,0.012218223227197622,0.018910179050074083,0.016874141168834567,1805.0
500150,0.011798298383360013,0.018941806101601677,0.016990497570147367,1600.0
500150,0.012449156711168221,0.018257539291400726,0.016584751714638024,1811.0
500150,0.012068655709576161,0.01885200466369863,0.016903752017078277,2000.0
499950,0.014588675476264534,0.020667252863382002,0.018146092027601535,1001.0
500150,0.012322078142095088,0.018789119681318134,0.01660494242963695,1944.0
500150,0.011911694423172067,0.01917937296282679,0.017687237318952942,1819.0
500150,0.01241804387387363,0.01895459989657322,0.016460497545549457,1620.0
500150,0.012310063294466503,0.018947414313898236,0.01687495251389859,1207.0
500150,0.012372020206632856,0.019632936992837635,0.017857727450033,1891.0
500150,0.012239837399399245,0.019059791366325518,0.017386130984153092,1804.0
500150,0.011559723709930922,0.018673043917401655,0.016971655875990144,1800.0
500150,0.01254632210045474,0.01861225410649625,0.016571635294595155,1623.0
500150,0.012029072737189953,0.018734944539028242,0.016637506061691898,1996.0
500150,0.01267203864970993,0.01948798545465491,0.016710661583494435,1292.0
500150,0.012167617760121806,0.01932571843383557,0.017520254995466833,1603.0
500150,0.012916056277760478,0.01954002015592249,0.01778651209311055,1877.0
500150,0.01263800327385304,0.019377113199416707,0.01788162695717077,1673.0
500150,0.012195473455003734,0.018853205208165136,0.01662204889241936,1995.0
500150,0.012151266448198424,0.019013217879272903,0.016863320208239108,1572.0
Best evaluation,Average evaluation,Worst evaluation
0.011559723709930922,0.012371960844659434,0.014588675476264534
