Epochs,Population size,Threads,Percent,Neural network
1000,15,10,0.1,Layer 1: neurons(9)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
250150,NaN,0.007667746294378053,0.0036246113224776,100.0
250150,NaN,0.007679153427188501,0.009123255603751157,100.0
250150,NaN,0.011508081677658044,0.013689034690383739,100.0
250150,NaN,0.00515393861386737,0.003329479647338207,200.0
250150,0.003535357154644265,0.003447037385300167,0.002773131766336423,1000.0
250150,NaN,0.028402821268303735,0.007251331426150198,100.0
