Epochs,Population size,Threads,Percent,Neural network
2000,15,5,0.1,Layer 1: neurons(5)Layer 2: neurons(1)
Cost,Evaluation,Training_error,Validation_error,Best_validation_epoch
200075,0.004109415416101278,0.004047837617982886,0.003257068124581264,1800.0
200075,NaN,0.0019493108224768463,0.002719723464438162,400.0
200075,0.004828715369709312,0.004686691926519271,0.0034407217771055265,787.0
200075,0.004409788482311605,0.00410909915382629,0.003283404606631568,1175.0
200075,NaN,0.006457593470423628,0.006395110583029329,200.0
200075,0.0034192420165902767,0.0033278454761596077,0.0022220045280262335,1400.0
200075,0.0033242116270627473,0.0030535568885724507,0.0022479555764428616,990.0
200075,0.00421655280060494,0.004196116806291839,0.003371938522310325,2000.0
200075,0.002980012429330059,0.002832291072234594,0.0020603137321040244,1800.0
200075,0.002955554851256019,0.0027433894989883356,0.002111263333998692,381.0
200075,0.0038430469458170117,0.0037309406195704664,0.002660010441058347,1600.0
200075,0.004623933691015975,0.004589206293746817,0.0035854561450956446,1800.0
200075,NaN,0.007604306597804422,0.008748897574298975,200.0
200075,0.003516114000037657,0.0034845108540308978,0.002797908356672263,2000.0
200075,0.004364726599928854,0.004084804712213397,0.003013029599805317,788.0
200075,NaN,0.004477366302613972,0.005211928072113126,200.0
200075,NaN,0.0049024988579241535,0.0033270354976339123,200.0
200075,0.006126389321591373,0.0054611460025021374,0.004214952034369612,1080.0
200075,0.003381063292212266,0.003208727199221606,0.002562331325941858,1992.0
200075,0.0035822505840381338,0.00359970854392222,0.0028864572730727955,2000.0
200075,NaN,0.008433236975623482,0.009960989075937676,800.0
200075,0.002070080148087644,0.0020825395242282108,0.001643671802977087,2000.0
200075,0.0035409676847229584,0.0033050277407397077,0.0023214914878254556,1327.0
200075,NaN,0.004771530162531734,0.0037404125660960297,1400.0
200075,NaN,0.006751248126722342,0.007171964159948252,600.0
200075,NaN,0.03205587732169557,0.00417049471094233,200.0
200075,0.0030639954980448553,0.003000385712160547,0.00241987623053852,2000.0
200075,0.004558310545912071,0.003962861334977252,0.003271625030329961,831.0
200075,NaN,0.007941526230704432,0.009085921717822631,200.0
200075,0.002581953401528688,0.0025452193008149715,0.0020375338631707374,2000.0
Best evaluation,Average evaluation,Worst evaluation
0.002070080148087644,NaN,0.006126389321591373
